YearMonth,Value
201602,1.1981
201603,1.2293
201604,1.0737
201605,0.8820
201606,0.9072
201607,0.8716
201608,0.9024
201609,0.8844
201610,0.7385
201611,0.7467
201612,0.7916
201701,0.8927
201702,0.9782
